system,thr,ROC-AUC,BRIER,C@1,F1,F0.5u,MEAN,FPR,FNR
model_A (tfidf+lr),0.05,0.7883,0.716,0.72,0.806,0.7708,0.7602,0.585,0.1275
model_B (e5+stylo+catboost),0.62,0.9469,0.9096,0.8683,0.9021,0.8974,0.9049,0.215,0.09
model_C (e5+stylo+kogan),0.64,0.9555,0.9194,0.8783,0.906,0.9224,0.9163,0.125,0.12
model_D (deberta),0.05,0.7235,0.6762,0.6517,0.6677,0.7979,0.7034,0.095,0.475
