model,condition,n,ROC-AUC,BRIER,C@1,F1,F0.5u,MEAN,FPR,FNR
model_A (tfidf+lr),human vs ai_plain,400,0.9761,0.9237,0.905,0.8967,0.9461,0.9295,0.015,0.175
model_A (tfidf+lr),human vs ai_obfuscated,400,0.6004,0.6319,0.5325,0.1461,0.2899,0.4402,0.015,0.92
model_B (e5+stylo+catboost),human vs ai_plain,400,0.9737,0.8979,0.8875,0.8926,0.869,0.9041,0.16,0.065
model_B (e5+stylo+catboost),human vs ai_obfuscated,400,0.92,0.8745,0.8275,0.8253,0.8316,0.8558,0.16,0.185
model_C (e5+stylo+kogan),human vs ai_plain,400,0.9801,0.9197,0.89,0.8972,0.8633,0.9101,0.18,0.04
model_C (e5+stylo+kogan),human vs ai_obfuscated,400,0.931,0.8893,0.8325,0.8346,0.8284,0.8631,0.18,0.155
model_D (deberta),human vs ai_plain,400,0.9422,0.9398,0.935,0.9356,0.9301,0.9366,0.075,0.055
model_D (deberta),human vs ai_obfuscated,400,0.5047,0.5403,0.5025,0.1385,0.2469,0.3866,0.075,0.92
